dt,feels_like,humidity,pop,pressure,temp,uvi,weather_id,wind_speed,wind_gust,rain_1h,snow_1h
"2025-02-19 22:00:00",NULL,92,NULL,1002,11.15,NULL,803,4.3,NULL,NULL,NULL
"2025-02-19 23:00:00",NULL,91,NULL,1002,11.3,NULL,803,4.52,NULL,NULL,NULL
"2025-02-20 00:00:00",NULL,90,NULL,1002,11.6,NULL,804,4.43,NULL,NULL,NULL
"2025-02-20 01:00:00",NULL,93,NULL,1001,11.54,NULL,804,4.21,NULL,NULL,NULL
"2025-02-20 02:00:00",NULL,91,NULL,1001,11.89,NULL,804,4.52,NULL,NULL,NULL
"2025-02-20 03:00:00",NULL,90,NULL,1000,12.33,NULL,804,5.27,NULL,NULL,NULL
"2025-02-20 04:00:00",NULL,90,NULL,999,12.61,NULL,804,5.75,NULL,NULL,NULL
"2025-02-20 05:00:00",NULL,87,NULL,998,12.87,NULL,804,6.51,NULL,NULL,NULL
"2025-02-20 06:00:00",NULL,86,NULL,997,12.98,NULL,804,7.27,NULL,NULL,NULL
"2025-02-20 07:00:00",NULL,88,NULL,997,12.46,NULL,500,6.53,NULL,NULL,NULL
"2025-02-20 08:00:00",NULL,88,NULL,997,12.64,NULL,501,7.49,NULL,NULL,NULL
"2025-02-20 09:00:00",NULL,88,NULL,998,12.02,NULL,501,7.32,NULL,NULL,NULL
"2025-02-20 10:00:00",NULL,79,NULL,998,11.98,NULL,500,10.75,NULL,NULL,NULL
"2025-02-20 11:00:00",NULL,78,NULL,1000,12.03,NULL,804,10.42,NULL,NULL,NULL
"2025-02-20 12:00:00",NULL,75,NULL,1000,12.41,NULL,804,9.96,NULL,NULL,NULL
"2025-02-20 13:00:00",NULL,71,NULL,1001,12.57,NULL,801,9.51,NULL,NULL,NULL
"2025-02-20 14:00:00",NULL,70,NULL,1002,12.4,NULL,801,8.67,NULL,NULL,NULL
"2025-02-20 15:00:00",NULL,70,NULL,1003,12.07,NULL,802,7.76,NULL,NULL,NULL
"2025-02-20 16:00:00",NULL,70,NULL,1003,11.57,NULL,802,7.5,NULL,NULL,NULL
"2025-02-20 17:00:00",NULL,73,NULL,1004,10.81,NULL,802,7.36,NULL,NULL,NULL
"2025-02-20 18:00:00",NULL,75,NULL,1005,10.1,NULL,802,7.55,NULL,NULL,NULL
"2025-02-20 19:00:00",NULL,78,NULL,1005,9.81,NULL,803,6.21,NULL,NULL,NULL
"2025-02-20 20:00:00",NULL,78,NULL,1006,9.64,NULL,803,4.55,NULL,NULL,NULL
"2025-02-20 21:00:00",NULL,80,NULL,1006,9.4,NULL,804,4.81,NULL,NULL,NULL
"2025-02-20 22:00:00",NULL,84,NULL,1005,9.04,NULL,804,4.37,NULL,NULL,NULL
"2025-02-20 23:00:00",NULL,82,NULL,1004,12.69,NULL,804,5.6,NULL,NULL,NULL
"2025-02-21 00:00:00",NULL,76,NULL,1003,12.18,NULL,804,6.58,NULL,NULL,NULL
"2025-02-21 01:00:00",NULL,85,NULL,1002,12,NULL,804,7.44,NULL,NULL,NULL
"2025-02-21 02:00:00",NULL,92,NULL,1000,11.42,NULL,804,7.71,NULL,NULL,NULL
"2025-02-21 03:00:00",NULL,90,NULL,998,11.15,NULL,500,8.15,NULL,NULL,NULL
"2025-02-21 04:00:00",NULL,92,NULL,996,11.31,NULL,500,7.95,NULL,NULL,NULL
"2025-02-21 05:00:00",NULL,88,NULL,994,12.1,NULL,500,8.94,NULL,NULL,NULL
"2025-02-21 06:00:00",NULL,88,NULL,992,13.07,NULL,501,11.15,NULL,NULL,NULL
