number,address,banking,bike_stands,name,status,position_lat,position_lng
1,"Clarendon Row",0,31,"CLARENDON ROW",OPEN,53.3409,-6.2625
2,"Blessington Street",0,20,"BLESSINGTON STREET",OPEN,53.3568,-6.26814
3,"Bolton Street",0,20,"BOLTON STREET",OPEN,53.3512,-6.26986
4,"Greek Street",0,20,"GREEK STREET",OPEN,53.3469,-6.27298
5,"Charlemont Street",0,40,"CHARLEMONT PLACE",OPEN,53.3307,-6.26018
6,"Christchurch Place",0,20,"CHRISTCHURCH PLACE",OPEN,53.3434,-6.27012
7,"High Street",0,29,"HIGH STREET",OPEN,53.3436,-6.27507
8,"Custom House Quay",0,30,"CUSTOM HOUSE QUAY",OPEN,53.3479,-6.24805
9,"Exchequer Street",0,24,"EXCHEQUER STREET",OPEN,53.343,-6.26358
10,"Dame Street",0,16,"DAME STREET",OPEN,53.344,-6.2668
11,"Earlsfort Terrace",0,30,"EARLSFORT TERRACE",OPEN,53.3343,-6.2585
12,"Eccles Street",0,20,"ECCLES STREET",OPEN,53.3592,-6.26978
13,"Fitzwilliam Square West",0,30,"FITZWILLIAM SQUARE WEST",OPEN,53.3361,-6.25282
14,"Fownes Street Upper",0,30,"FOWNES STREET UPPER",OPEN,53.3446,-6.26337
15,"Hardwicke Street",0,16,"HARDWICKE STREET",OPEN,53.3555,-6.26442
16,"Georges Quay",0,20,"GEORGES QUAY",OPEN,53.3475,-6.25219
17,"Golden Lane",0,20,"GOLDEN LANE",OPEN,53.3408,-6.26773
18,"Grantham Street",0,30,"GRANTHAM STREET",OPEN,53.3341,-6.26544
19,"Herbert Place",0,30,"HERBERT PLACE",OPEN,53.3344,-6.24557
20,"James Street East",0,30,"JAMES STREET EAST",OPEN,53.3366,-6.24811
21,"Leinster Street South",0,30,"LEINSTER STREET SOUTH",OPEN,53.3422,-6.25449
22,"Townsend Street",0,20,"TOWNSEND STREET",OPEN,53.3459,-6.25461
23,"Custom House",0,30,"CUSTOM HOUSE",OPEN,53.3483,-6.25466
24,"Cathal Brugha Street",0,20,"CATHAL BRUGHA STREET",OPEN,53.3521,-6.26053
25,"Merrion Square East",0,30,"MERRION SQUARE EAST",OPEN,53.3394,-6.24655
26,"Merrion Square West",0,20,"MERRION SQUARE WEST",OPEN,53.3398,-6.25199
27,"Molesworth Street",0,20,"MOLESWORTH STREET",OPEN,53.3413,-6.25812
28,"Mountjoy Square West",0,30,"MOUNTJOY SQUARE WEST",OPEN,53.3563,-6.25859
29,"Ormond Quay Upper",0,29,"ORMOND QUAY UPPER",OPEN,53.3461,-6.268
30,"Parnell Square North",0,20,"PARNELL SQUARE NORTH",OPEN,53.3537,-6.2653
31,"Parnell Street",0,20,"PARNELL STREET",OPEN,53.3509,-6.26512
32,"Pearse Street",0,30,"PEARSE STREET",OPEN,53.3443,-6.25043
33,"Princes Street / O'Connell Street",0,23,"PRINCES STREET / O'CONNELL STREET",OPEN,53.349,-6.26031
34,"Portobello Harbour",0,30,"PORTOBELLO HARBOUR",OPEN,53.3304,-6.26516
35,Smithfield,0,30,SMITHFIELD,OPEN,53.3477,-6.27821
36,"St. Stephen's Green East",0,40,"ST. STEPHEN'S GREEN EAST",OPEN,53.3378,-6.25603
37,"St. Stephen's Green South",0,30,"ST. STEPHEN'S GREEN SOUTH",OPEN,53.3375,-6.26199
38,"Talbot Street",0,40,"TALBOT STREET",OPEN,53.351,-6.25294
39,"Wilton Terrace",0,20,"WILTON TERRACE",OPEN,53.3324,-6.25272
40,"Jervis Street",0,21,"JERVIS STREET",OPEN,53.3483,-6.26665
41,"Harcourt Terrace",0,20,"HARCOURT TERRACE",OPEN,53.3328,-6.25794
42,"Smithfield North",0,30,"SMITHFIELD NORTH",OPEN,53.3496,-6.2782
43,"Portobello Road",0,30,"PORTOBELLO ROAD",OPEN,53.3301,-6.26804
44,"Upper Sherrard Street",0,30,"UPPER SHERRARD STREET",OPEN,53.3584,-6.26064
45,"Deverell Place",0,30,"DEVERELL PLACE",OPEN,53.3515,-6.25527
47,"Herbert Street",0,40,"HERBERT STREET",OPEN,53.3357,-6.24551
48,"Excise Walk",0,40,"EXCISE WALK",OPEN,53.3478,-6.24424
49,"Guild Street",0,40,"GUILD STREET",OPEN,53.3479,-6.24093
50,"George's Lane",0,40,"GEORGES LANE",OPEN,53.3502,-6.2797
51,"York Street West",0,40,"YORK STREET WEST",OPEN,53.3393,-6.2647
52,"York Street East",0,32,"YORK STREET EAST",OPEN,53.3388,-6.262
53,"Newman House",0,40,"NEWMAN HOUSE",OPEN,53.3371,-6.26059
54,"Clonmel Street",0,33,"CLONMEL STREET",OPEN,53.336,-6.26298
55,"Hatch Street",0,36,"HATCH STREET",OPEN,53.334,-6.26071
56,"Mount Street Lower",0,40,"MOUNT STREET LOWER",OPEN,53.338,-6.24153
57,"Grattan Street",0,23,"GRATTAN STREET",OPEN,53.3396,-6.24378
58,"Sir Patrick's Dun",0,40,"SIR PATRICK DUN'S",OPEN,53.3392,-6.24064
59,"Denmark Street Great",0,20,"DENMARK STREET GREAT",OPEN,53.3556,-6.2614
60,"North Circular Road",0,30,"NORTH CIRCULAR ROAD",OPEN,53.3596,-6.26035
61,"Hardwicke Place",0,25,"HARDWICKE PLACE",OPEN,53.357,-6.26323
62,"Lime Street",0,40,"LIME STREET",OPEN,53.346,-6.24358
63,"Fenian Street",0,35,"FENIAN STREET",OPEN,53.3414,-6.24672
64,"Sandwith Street",0,40,"SANDWITH STREET",OPEN,53.3452,-6.24716
65,"Convention Centre",0,40,"CONVENTION CENTRE",OPEN,53.3474,-6.23852
66,"New Central Bank",0,40,"NEW CENTRAL BANK",OPEN,53.3471,-6.23475
67,"The Point",0,40,"THE POINT",OPEN,53.3469,-6.23085
68,"Hanover Quay",0,40,"HANOVER QUAY",OPEN,53.3441,-6.23715
69,"Grand Canal Dock",0,40,"GRAND CANAL DOCK",OPEN,53.3426,-6.2387
71,"Kevin Street",0,40,"KEVIN STREET",OPEN,53.3378,-6.2677
72,"John Street West",0,31,"JOHN STREET WEST",OPEN,53.3431,-6.27717
73,"Francis Street",0,30,"FRANCIS STREET",OPEN,53.3421,-6.27523
74,"Oliver Bond Street",0,30,"OLIVER BOND STREET",OPEN,53.3439,-6.28053
75,"James Street",0,40,"JAMES STREET",OPEN,53.3435,-6.28741
76,"Market Street South",0,38,"MARKET STREET SOUTH",OPEN,53.3423,-6.28766
77,"Wolfe Tone Street",0,29,"WOLFE TONE STREET",OPEN,53.3489,-6.26746
78,"Mater Hospital",0,40,"MATER HOSPITAL",OPEN,53.36,-6.26483
79,"Eccles Street East",0,27,"ECCLES STREET EAST",OPEN,53.3581,-6.2656
